# metric_direction: higher_is_better
iteration	timestamp	hypothesis	status	technique	evidence	file_line
0	2026-06-27T00:00	baseline	-	-	0 tech debts logged	-
1	2026-06-27T00:01	3 stale git worktrees (resolver-1/2/3) wasting 72MB disk	confirmed	pattern_search	3 worktrees on branches resolver-agent-1/2/3 at commit b14d601e, from past parallel dictionary resolution	.claude/worktrees/resolver-1,resolver-2,resolver-3
2	2026-06-27T00:01	Backup dictionary files in server/data/ with no cleanup mechanism	confirmed	pattern_search	_dict_backup_1780018699.json (12MB) + _dict_backup_pre75_1780031101.json (12MB), no cleanup script	server/data/_dict_backup_*.json
3	2026-06-27T00:01	Root-level orphan temp files from past scrapes	confirmed	pattern_search	_browser_tieba_results.json (251KB) + _danmaku_matches.json (107KB) in project root	_browser_tieba_results.json / _danmaku_matches.json
4	2026-06-27T00:01	console.log in production server code	confirmed	pattern_search	server/index.js:33 logs port, server/routes/deepseek.js:74 logs request data — should use structured logger	server/index.js:33 / server/routes/deepseek.js:74
5	2026-06-27T00:02	Large monolithic service files >300KB that should be split	confirmed	pattern_search	deepseekKeywordTrainer.js 375KB, keywordHarvest.js 351KB, commentCoverage.js 184KB	server/services/deepseekKeywordTrainer.js / keywordHarvest.js / commentCoverage.js
6	2026-06-27T00:02	Deep nesting in src/main.jsx (22-space indent = 5+ levels)	confirmed	pattern_search	src/main.jsx:1016 has 22-space indent, function too deeply nested	 src/main.jsx:1016
7	2026-06-27T00:02	Large test file: test_corpus_contracts.py is 1.8MB (1814 tests in single file)	confirmed	pattern_search	python_backend/tests/test_corpus_contracts.py is 1808KB with 1814 test methods — should be split by contract	 python_backend/tests/test_corpus_contracts.py
8	2026-06-27T00:02	Seed results duplicated across 4 directories	confirmed	pattern_search	.claude/seed_results/ (763 files), seed_results_deep/ (196 files), seed_results_batch2/, seed_results_batch3/ — many overlapping seeds	 .claude/seed_results*/
9	2026-06-27T00:03	.gitignore missing 10 patterns for temp/analysis files	confirmed	pattern_search	_browser_tieba_results.json _danmaku_matches.json db_selected* extracted_uids* all_entries.json selected_users_report* analyze_*_users.js personality_analysis_data* collect_uids.py extract_uids.py not gitignored	.gitignore
